product_id,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id
P0000,5.0,20.0,12.0,,H00,H0004,H000401,H00040105,H0004010534
P0001,13.5,22.0,20.0,cluster_5,H01,H0105,H010501,H01050100,H0105010006
P0002,22.0,40.0,22.0,cluster_0,H03,H0315,H031508,H03150800,H0315080028
P0004,2.0,13.0,4.0,cluster_3,H03,H0314,H031405,H03140500,H0314050003
P0005,16.0,30.0,16.0,cluster_9,H03,H0312,H031211,H03121109,H0312110917
P0006,8.5,15.0,15.0,cluster_0,H03,H0316,H031608,H03160817,H0316081708
P0007,2.0,22.0,9.5,cluster_4,H03,H0313,H031305,H03130519,H0313051904
P0008,5.0,16.0,5.0,cluster_0,H00,H0000,H000004,H00000400,H0000040017
P0009,5.0,18.0,14.0,cluster_6,H00,H0002,H000201,H00020100,H0002010012
P0010,2.0,22.0,3.0,cluster_0,H01,H0108,H010801,H01080109,H0108010917
P0011,9.0,22.0,15.0,cluster_0,H03,H0315,H031506,H03150612,H0315061202
P0012,10.0,20.0,12.3,cluster_0,H01,H0107,H010702,H01070210,H0107021001
P0013,7.1,27.5,13.7,,H01,H0105,H010503,H01050309,H0105030906
P0014,32.5,6.0,33.0,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0015,10.0,33.0,10.0,cluster_1,H00,H0000,H000003,H00000309,H0000030901
P0016,2.0,18.0,8.0,cluster_0,H00,H0004,H000401,H00040105,H0004010512
P0017,8.0,28.0,8.0,cluster_6,H00,H0000,H000003,H00000310,H0000031001
P0018,1.0,14.0,11.0,cluster_4,H00,H0003,H000316,H00031609,H0003160922
P0019,1.5,42.0,32.0,cluster_0,H03,H0312,H031201,H03120100,H0312010004
P0020,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110901,H0311090101
P0021,8.0,26.0,23.0,cluster_0,H03,H0313,H031302,H03130210,H0313021002
P0022,5.7,18.6,10.1,cluster_0,H01,H0108,H010809,H01080900,H0108090012
P0023,1.0,1.0,1.0,,H00,H0004,H000403,H00040305,H0004030536
P0024,1.0,23.0,16.0,cluster_0,H03,H0314,H031404,H03140407,H0314040701
P0025,33.0,6.0,20.0,cluster_0,H03,H0312,H031207,H03120710,H0312071003
P0026,4.0,22.0,16.0,cluster_6,H00,H0002,H000201,H00020105,H0002010522
P0027,5.0,28.0,16.0,cluster_0,H03,H0311,H031108,H03110805,H0311080502
P0028,3.4,11.3,12.0,cluster_0,H03,H0313,H031302,H03130210,H0313021001
P0029,2.5,18.0,8.0,cluster_0,H03,H0315,H031504,H03150411,H0315041131
P0030,9.0,9.0,37.0,cluster_0,H03,H0312,H031205,H03120508,H0312050800
P0031,,,,cluster_0,H00,H0004,H000402,H00040212,H0004021202
P0032,5.0,12.0,4.0,cluster_0,H03,H0312,H031207,H03120710,H0312071025
P0033,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090001
P0035,3.0,17.0,12.5,cluster_7,H00,H0003,H000311,H00031100,H0003110017
P0036,6.0,20.0,10.0,cluster_9,H00,H0004,H000401,H00040105,H0004010539
P0037,3.5,10.5,3.5,cluster_0,H01,H0108,H010809,H01080913,H0108091301
P0038,5.0,21.5,5.0,cluster_0,H01,H0108,H010805,H01080500,H0108050033
P0039,11.5,28.0,27.0,cluster_9,H01,H0105,H010501,H01050100,H0105010012
P0040,7.0,26.5,7.0,,H03,H0312,H031204,H03120400,H0312040000
P0041,5.0,28.0,16.0,cluster_6,H03,H0311,H031109,H03110900,H0311090001
P0042,1.0,16.0,10.0,cluster_0,H01,H0108,H010811,H01081100,H0108110043
P0043,3.5,23.0,32.0,cluster_0,H03,H0317,H031702,H03170212,H0317021212
P0044,1.0,10.0,5.0,cluster_0,H03,H0315,H031504,H03150411,H0315041121
P0045,3.0,17.0,12.5,cluster_3,H00,H0003,H000311,H00031100,H0003110012
P0046,1.7,11.1,9.6,cluster_0,H01,H0108,H010809,H01080900,H0108090006
P0047,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090002
P0048,29.3,14.7,19.8,cluster_0,H01,H0107,H010702,H01070212,H0107021201
P0049,2.0,40.0,10.0,cluster_0,H03,H0313,H031305,H03130518,H0313051829
P0050,6.9,6.0,6.9,cluster_9,H01,H0108,H010808,H01080815,H0108081512
P0051,1.7,17.5,4.5,cluster_7,H00,H0003,H000314,H00031409,H0003140912
P0053,5.0,40.0,40.0,cluster_3,H03,H0311,H031101,H03110101,H0311010124
P0054,8.5,14.6,8.5,cluster_9,H00,H0002,H000201,H00020110,H0002011001
P0055,2.3,18.5,13.5,cluster_0,H00,H0003,H000311,H00031109,H0003110906
P0056,,12.0,10.0,,H03,H0314,H031401,H03140102,H0314010203
P0057,4.0,22.0,9.0,cluster_0,H01,H0108,H010807,H01080709,H0108070901
P0058,3.0,21.0,8.0,cluster_0,H00,H0004,H000401,H00040100,H0004010017
P0059,9.1,29.7,13.2,cluster_0,H01,H0105,H010501,H01050105,H0105010506
P0060,7.5,20.5,5.4,cluster_0,H01,H0106,H010600,H01060013,H0106001333
P0061,9.3,32.0,19.2,cluster_9,H01,H0105,H010501,H01050114,H0105011401
P0062,,,,cluster_0,H03,H0312,H031205,H03120507,H0312050709
P0063,7.5,7.5,7.5,cluster_9,H03,H0312,H031201,H03120100,H0312010012
P0064,7.0,10.0,7.0,cluster_0,H00,H0004,H000401,H00040105,H0004010517
P0065,8.5,33.0,32.0,cluster_0,H03,H0313,H031302,H03130209,H0313020905
P0066,0.3,15.5,8.5,cluster_0,H03,H0313,H031305,H03130515,H0313051502
P0067,5.4,20.5,7.5,cluster_4,H01,H0106,H010600,H01060013,H0106001333
P0068,13.0,9.0,13.0,cluster_8,H00,H0000,H000003,H00000300,H0000030001
P0069,3.0,12.0,8.5,cluster_0,H03,H0312,H031201,H03120101,H0312010130
P0070,8.7,14.0,8.7,cluster_0,H00,H0002,H000201,H00020100,H0002010001
P0071,4.9,16.5,6.5,cluster_0,H01,H0108,H010807,H01080700,H0108070022
P0072,3.0,12.0,12.0,cluster_0,H03,H0314,H031402,H03140200,H0314020001
P0073,2.0,30.0,30.0,cluster_5,H03,H0312,H031204,H03120400,H0312040006
P0074,9.0,6.0,9.0,,H00,H0004,H000402,H00040212,H0004021202
P0075,6.0,26.7,26.0,cluster_0,H03,H0313,H031302,H03130200,H0313020001
P0076,2.0,10.0,2.0,cluster_0,H03,H0313,H031309,H03130900,H0313090044
P0077,3.0,23.5,17.0,cluster_0,H03,H0311,H031110,H03111000,H0311100003
P0078,7.5,11.5,7.5,cluster_2,H00,H0003,H000312,H00031205,H0003120501
P0079,2.0,13.0,6.0,cluster_5,H00,H0003,H000316,H00031600,H0003160001
P0080,2.0,24.0,2.0,cluster_0,H03,H0312,H031204,H03120400,H0312040003
P0082,3.4,17.6,8.1,cluster_0,H01,H0108,H010803,H01080311,H0108031101
P0083,2.2,7.7,10.6,cluster_6,H00,H0002,H000201,H00020109,H0002010901
P0084,4.0,14.0,12.0,cluster_0,H03,H0313,H031302,H03130209,H0313020901
P0085,12.0,26.0,11.0,cluster_0,H03,H0312,H031207,H03120710,H0312071015
P0086,39.0,34.0,49.0,,H03,H0315,H031508,H03150800,H0315080029
P0087,2.0,5.7,19.0,cluster_4,H00,H0003,H000312,H00031200,H0003120002
P0088,18.0,24.0,8.0,cluster_9,H00,H0002,H000200,H00020009,H0002000926
P0089,2.0,15.0,8.0,cluster_0,H03,H0315,H031512,H03151215,H0315121500
P0090,1.0,5.0,6.0,cluster_0,H03,H0312,H031211,H03121109,H0312110917
P0091,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070019
P0092,6.0,15.0,8.0,cluster_6,H00,H0001,H000102,H00010210,H0001021022
P0093,7.0,18.0,7.0,cluster_0,H00,H0001,H000101,H00010105,H0001010512
P0094,3.8,14.3,3.8,cluster_0,H01,H0108,H010807,H01080700,H0108070032
P0095,40.0,100.0,50.0,cluster_6,H03,H0314,H031401,H03140100,H0314010006
P0096,3.4,14.5,4.4,cluster_0,H01,H0108,H010811,H01081100,H0108110038
P0097,1.0,19.2,9.0,cluster_4,H00,H0003,H000315,H00031501,H0003150102
P0098,4.0,16.0,12.5,cluster_0,H03,H0313,H031302,H03130215,H0313021507
P0099,3.0,11.3,10.0,cluster_0,H03,H0313,H031302,H03130210,H0313021001
P0100,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070009
P0101,4.5,17.6,4.5,cluster_0,H01,H0108,H010805,H01080500,H0108050033
P0102,7.0,27.0,40.0,cluster_0,H03,H0313,H031302,H03130200,H0313020001
P0103,9.0,30.0,9.0,cluster_0,H00,H0000,H000003,H00000300,H0000030001
P0104,3.0,20.0,11.0,cluster_0,H03,H0311,H031111,H03111101,H0311110124
P0105,11.0,13.0,16.0,cluster_0,H03,H0312,H031206,H03120610,H0312061042
P0108,10.0,25.0,32.0,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0109,7.0,18.0,11.0,cluster_0,H01,H0107,H010700,H01070009,H0107000922
P0110,6.2,16.8,6.2,cluster_0,H00,H0000,H000004,H00000405,H0000040501
P0111,7.8,9.5,9.4,cluster_0,H00,H0001,H000105,H00010500,H0001050017
P0112,17.5,9.5,24.0,cluster_0,H03,H0314,H031401,H03140102,H0314010203
P0113,2.0,17.0,6.0,cluster_0,H03,H0315,H031504,H03150411,H0315041140
P0114,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906
P0115,3.0,14.0,5.5,cluster_0,H00,H0001,H000105,H00010500,H0001050001
P0116,0.5,14.0,6.0,cluster_3,H00,H0002,H000200,H00020009,H0002000926
P0117,5.0,10.8,5.6,cluster_0,H01,H0108,H010805,H01080500,H0108050006
P0118,5.0,28.0,16.0,,H03,H0311,H031109,H03110900,H0311090001
P0119,15.0,15.0,15.0,cluster_0,H00,H0000,H000003,H00000300,H0000030001
P0122,5.0,28.0,16.0,cluster_6,H03,H0311,H031109,H03110900,H0311090001
P0123,5.5,22.5,19.0,,H03,H0313,H031302,H03130210,H0313021002
P0124,17.0,24.0,17.0,cluster_0,H03,H0317,H031702,H03170212,H0317021212
P0125,2.0,5.0,9.0,cluster_5,H00,H0003,H000316,H00031600,H0003160001
P0126,4.0,16.0,5.0,cluster_0,H01,H0108,H010807,H01080709,H0108070906
P0127,10.0,30.0,20.0,cluster_0,H03,H0311,H031101,H03110104,H0311010424
P0128,9.0,14.0,9.0,cluster_0,H03,H0312,H031207,H03120710,H0312071013
P0129,22.2,22.2,44.4,cluster_0,H01,H0107,H010701,H01070110,H0107011026
P0130,2.5,17.0,13.0,cluster_0,H03,H0313,H031303,H03130302,H0313030205
P0131,1.0,12.0,11.0,cluster_6,H00,H0003,H000316,H00031609,H0003160922
P0132,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110901,H0311090103
P0133,9.0,28.0,20.0,,H03,H0313,H031303,H03130302,H0313030201
P0134,6.0,30.0,10.0,cluster_0,H03,H0314,H031405,H03140500,H0314050003
P0135,3.0,15.0,55.0,cluster_0,H03,H0315,H031506,H03150612,H0315061244
P0136,3.3,25.9,8.5,cluster_0,H01,H0108,H010801,H01080110,H0108011006
P0137,23.6,24.1,8.3,cluster_0,H03,H0315,H031502,H03150200,H0315020035
P0138,5.0,47.0,28.5,cluster_3,H03,H0312,H031205,H03120507,H0312050709
P0139,4.0,17.0,11.0,,H03,H0315,H031506,H03150612,H0315061202
P0140,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070008
P0141,6.0,20.0,12.0,cluster_6,H00,H0001,H000102,H00010210,H0001021017
P0142,7.0,12.0,12.0,cluster_0,H03,H0311,H031109,H03110900,H0311090001
P0143,3.0,26.0,13.0,cluster_0,H03,H0311,H031113,H03111305,H0311130529
P0144,4.5,21.0,14.3,cluster_3,H00,H0003,H000311,H00031100,H0003110006
P0145,4.0,12.5,4.0,cluster_0,H00,H0001,H000105,H00010500,H0001050001
P0146,3.6,3.5,20.0,cluster_0,H03,H0312,H031205,H03120507,H0312050709
P0147,12.5,37.0,12.5,cluster_9,H01,H0106,H010601,H01060112,H0106011202
P0148,6.0,7.0,12.2,cluster_0,H00,H0002,H000200,H00020000,H0002000032
P0149,1.8,5.5,16.3,cluster_8,H00,H0003,H000312,H00031205,H0003120506
P0150,6.0,14.0,14.0,cluster_0,H03,H0313,H031302,H03130209,H0313020905
P0151,2.0,15.0,11.5,cluster_0,H01,H0108,H010806,H01080600,H0108060006
P0152,5.0,19.0,13.0,cluster_0,H00,H0003,H000312,H00031200,H0003120001
P0154,3.0,20.0,12.0,cluster_6,H00,H0001,H000105,H00010500,H0001050017
P0155,,,,cluster_0,H00,H0004,H000402,H00040212,H0004021201
P0156,5.0,20.0,8.0,cluster_0,H01,H0108,H010806,H01080600,H0108060006
P0157,6.0,6.0,15.0,cluster_2,H00,H0003,H000312,H00031200,H0003120002
P0158,15.0,8.0,2.0,cluster_0,H03,H0313,H031305,H03130518,H0313051830
P0159,20.0,28.0,25.0,cluster_0,H03,H0311,H031108,H03110801,H0311080102
P0160,30.0,1.0,21.0,cluster_0,H03,H0313,H031305,H03130520,H0313052008
P0161,7.0,6.0,7.0,cluster_0,H01,H0108,H010808,H01080815,H0108081512
P0162,2.0,8.8,3.6,cluster_0,H01,H0108,H010810,H01081009,H0108100901
P0163,2.0,13.0,4.0,cluster_0,H03,H0314,H031405,H03140500,H0314050003
P0164,4.4,15.8,9.0,cluster_0,H01,H0108,H010807,H01080700,H0108070033
P0165,1.0,13.0,12.0,cluster_3,H00,H0003,H000316,H00031609,H0003160922
P0166,5.0,19.0,13.0,cluster_0,H00,H0001,H000102,H00010210,H0001021017
P0167,20.0,33.5,21.8,cluster_0,H01,H0107,H010702,H01070205,H0107020504
P0169,8.0,19.0,12.0,cluster_4,H03,H0313,H031303,H03130303,H0313030301
P0170,23.7,11.7,22.3,cluster_0,H03,H0312,H031207,H03120710,H0312071007
P0171,4.5,17.0,4.5,cluster_0,H01,H0108,H010805,H01080500,H0108050032
P0172,28.0,4.5,28.0,cluster_0,H03,H0314,H031402,H03140200,H0314020004
P0173,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070010
P0174,3.0,17.0,9.0,cluster_0,H00,H0004,H000401,H00040105,H0004010506
P0175,2.0,20.0,10.0,cluster_0,H03,H0313,H031309,H03130900,H0313090044
P0176,,,,cluster_9,H02,H0210,H021002,H02100200,H0210020008
P0177,1.0,12.0,8.0,cluster_0,H01,H0106,H010601,H01060114,H0106011422
P0178,3.5,16.5,4.5,cluster_0,H01,H0108,H010806,H01080613,H0108061306
P0179,7.0,14.0,12.0,cluster_0,H03,H0312,H031207,H03120710,H0312071012
P0180,22.0,59.0,29.0,cluster_0,H03,H0313,H031302,H03130213,H0313021301
P0181,4.1,17.3,10.1,cluster_0,H03,H0315,H031508,H03150809,H0315080935
P0182,5.0,37.0,27.0,cluster_4,H01,H0105,H010501,H01050100,H0105010006
P0183,14.2,3.8,11.0,cluster_0,H01,H0106,H010601,H01060111,H0106011112
P0184,6.0,30.0,10.0,cluster_6,H03,H0313,H031302,H03130205,H0313020501
P0185,1.0,20.0,30.0,cluster_0,H03,H0313,H031307,H03130705,H0313070501
P0186,8.0,16.0,8.0,cluster_8,H03,H0312,H031204,H03120409,H0312040900
P0187,9.0,25.0,19.0,cluster_0,H03,H0313,H031303,H03130302,H0313030201
P0188,10.0,30.0,25.0,cluster_9,H03,H0311,H031113,H03111305,H0311130527
P0189,4.0,14.7,11.0,cluster_4,H00,H0004,H000401,H00040105,H0004010501
P0190,6.0,19.0,14.0,cluster_0,H03,H0315,H031508,H03150809,H0315080935
P0192,15.0,15.0,40.0,cluster_0,H03,H0315,H031508,H03150800,H0315080002
P0193,6.0,3.0,6.0,cluster_0,H01,H0108,H010809,H01080913,H0108091317
P0194,6.0,7.0,9.0,cluster_0,H03,H0312,H031201,H03120100,H0312010002
P0195,6.5,7.5,12.0,cluster_0,H00,H0002,H000200,H00020000,H0002000032
P0196,5.0,23.0,20.0,cluster_0,H03,H0314,H031405,H03140500,H0314050003
P0197,6.0,18.0,10.0,cluster_2,H00,H0004,H000401,H00040105,H0004010517
P0198,1.0,16.0,3.0,cluster_0,H00,H0002,H000200,H00020009,H0002000926
P0199,15.0,24.9,9.3,,H00,H0001,H000104,H00010413,H0001041317
P0200,4.0,13.5,9.0,,H01,H0105,H010503,H01050309,H0105030901
P0201,3.0,14.5,4.9,cluster_8,H01,H0108,H010807,H01080709,H0108070906
P0202,1.0,1.0,1.0,cluster_0,H00,H0000,H000005,H00000505,H0000050501
P0203,1.0,1.0,1.0,cluster_0,H00,H0004,H000403,H00040310,H0004031022
P0204,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832
P0205,4.0,17.5,10.0,cluster_0,H03,H0315,H031502,H03150200,H0315020002
P0206,6.0,12.0,6.0,cluster_8,H03,H0314,H031408,H03140801,H0314080102
P0208,1.0,1.0,1.0,cluster_0,H03,H0313,H031302,H03130215,H0313021508
P0209,6.0,30.4,20.0,cluster_0,H03,H0313,H031302,H03130210,H0313021002
P0210,5.2,33.5,12.0,cluster_7,H03,H0312,H031205,H03120504,H0312050405
P0211,14.0,7.2,15.7,cluster_0,H01,H0107,H010700,H01070009,H0107000901
P0212,6.5,12.0,18.5,cluster_0,H00,H0002,H000200,H00020000,H0002000022
P0213,1.5,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051826
P0214,,,,cluster_0,H03,H0313,H031305,H03130520,H0313052002
P0215,3.0,12.0,10.0,cluster_0,H01,H0107,H010702,H01070211,H0107021107
P0216,1.0,1.0,1.0,cluster_0,H01,H0108,H010809,H01080900,H0108090001
P0217,8.0,6.0,14.0,cluster_0,H01,H0107,H010702,H01070212,H0107021212
P0218,7.5,15.0,13.0,cluster_6,H01,H0108,H010806,H01080615,H0108061501
P0219,8.7,12.5,8.7,cluster_9,H00,H0002,H000201,H00020110,H0002011001
P0220,5.0,17.0,13.0,cluster_4,H00,H0001,H000102,H00010210,H0001021012
P0221,2.7,12.0,6.0,cluster_9,H01,H0108,H010801,H01080110,H0108011006
P0222,14.5,20.5,18.0,cluster_0,H03,H0313,H031302,H03130209,H0313020905
P0223,5.3,23.7,11.1,cluster_0,H01,H0105,H010503,H01050309,H0105030901
P0224,13.0,19.0,15.0,cluster_0,H03,H0311,H031108,H03110801,H0311080103
P0225,4.0,8.0,4.0,cluster_0,H01,H0108,H010806,H01080616,H0108061601
P0226,6.5,7.0,6.5,cluster_0,H01,H0107,H010702,H01070210,H0107021003
P0227,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070001
P0228,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090003
P0229,5.6,8.4,5.6,cluster_0,H00,H0001,H000105,H00010500,H0001050017
P0230,2.0,36.0,19.5,,H01,H0107,H010701,H01070109,H0107010906
P0231,3.7,18.9,7.7,cluster_0,H01,H0107,H010702,H01070200,H0107020004
P0232,2.3,17.0,7.3,cluster_0,H03,H0315,H031504,H03150411,H0315041140
P0233,1.0,56.0,30.0,cluster_0,H03,H0317,H031702,H03170215,H0317021509
P0234,10.9,35.1,23.2,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0235,15.0,31.2,11.8,,H00,H0001,H000104,H00010413,H0001041317
P0237,24.0,77.0,2.0,cluster_0,H03,H0317,H031702,H03170212,H0317021204
P0238,6.0,20.0,6.0,cluster_3,H00,H0000,H000003,H00000300,H0000030001
P0239,4.0,18.0,14.0,cluster_0,H00,H0002,H000201,H00020100,H0002010006
P0240,9.4,14.0,8.0,cluster_0,H03,H0313,H031302,H03130210,H0313021002
P0241,5.0,13.8,5.0,cluster_9,H00,H0001,H000105,H00010500,H0001050001
P0242,4.3,17.5,4.3,cluster_0,H01,H0108,H010805,H01080500,H0108050033
P0243,1.0,1.0,1.0,cluster_0,H00,H0004,H000403,H00040310,H0004031012
