product_id,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id
P0498,20.0,35.0,24.0,cluster_0,H03,H0315,H031508,H03150800,H0315080028
P0499,2.5,5.8,15.5,cluster_0,H00,H0003,H000312,H00031200,H0003120002
P0500,8.0,23.0,8.0,cluster_2,H00,H0004,H000400,H00040000,H0004000017
P0501,5.8,16.6,9.0,cluster_0,H01,H0108,H010807,H01080700,H0108070012
P0502,1.5,10.0,8.5,cluster_0,H01,H0108,H010806,H01080600,H0108060032
P0503,2.7,23.0,4.5,cluster_2,H01,H0107,H010702,H01070200,H0107020015
P0504,4.5,16.7,9.0,cluster_0,H01,H0108,H010807,H01080700,H0108070012
P0505,1.0,14.0,14.0,cluster_0,H03,H0313,H031305,H03130519,H0313051901
P0506,2.5,16.5,16.5,cluster_0,H01,H0107,H010701,H01070109,H0107010906
P0507,1.0,3.5,13.5,cluster_0,H00,H0003,H000313,H00031300,H0003130001
P0508,1.0,25.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051817
P0509,4.4,22.0,8.8,cluster_0,H01,H0108,H010807,H01080710,H0108071032
P0510,4.9,21.3,8.4,cluster_0,H01,H0108,H010801,H01080100,H0108010012
P0511,3.5,4.0,26.0,cluster_0,H01,H0106,H010601,H01060113,H0106011303
P0512,5.0,26.0,10.0,cluster_9,H01,H0107,H010702,H01070200,H0107020004
P0513,5.0,35.0,5.0,cluster_0,H03,H0312,H031211,H03121109,H0312110906
P0514,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070005
P0515,40.0,30.0,40.0,cluster_0,H03,H0315,H031508,H03150800,H0315080002
P0516,20.0,30.0,34.0,cluster_0,H03,H0315,H031508,H03150800,H0315080027
P0517,5.0,28.0,16.0,cluster_6,H03,H0311,H031109,H03110900,H0311090003
P0518,2.0,19.0,10.5,cluster_0,H03,H0313,H031305,H03130515,H0313051514
P0519,1.0,11.0,2.5,,H00,H0002,H000200,H00020009,H0002000917
P0520,6.2,16.8,6.2,cluster_0,H00,H0000,H000004,H00000405,H0000040501
P0521,5.5,5.5,31.0,cluster_0,H01,H0106,H010601,H01060113,H0106011304
P0522,16.0,16.0,27.0,cluster_3,H03,H0312,H031207,H03120710,H0312071007
P0523,3.0,17.0,12.0,cluster_5,H03,H0313,H031302,H03130209,H0313020905
P0524,2.0,25.0,9.0,cluster_5,H03,H0311,H031111,H03111103,H0311110301
P0525,6.0,17.0,17.0,cluster_9,H03,H0312,H031207,H03120710,H0312071009
P0526,1.0,1.0,1.0,cluster_0,H03,H0314,H031408,H03140801,H0314080103
P0527,4.5,20.0,15.5,cluster_0,H00,H0001,H000102,H00010210,H0001021012
P0528,3.0,12.0,10.0,cluster_0,H03,H0311,H031110,H03111006,H0311100601
P0529,2.0,16.5,9.5,cluster_4,H03,H0315,H031504,H03150411,H0315041140
P0531,6.0,19.0,6.0,cluster_9,H00,H0000,H000005,H00000500,H0000050001
P0532,17.0,4.0,22.0,cluster_9,H03,H0312,H031209,H03120916,H0312091617
P0533,6.0,6.0,15.0,cluster_2,H00,H0003,H000312,H00031200,H0003120002
P0534,3.0,17.0,9.0,cluster_4,H00,H0004,H000401,H00040105,H0004010517
P0535,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110901,H0311090103
P0536,7.0,22.0,7.0,cluster_9,H00,H0000,H000004,H00000400,H0000040001
P0537,4.4,18.6,7.5,cluster_9,H01,H0108,H010801,H01080100,H0108010012
P0538,24.5,6.3,31.9,cluster_0,H03,H0312,H031205,H03120502,H0312050214
P0539,6.0,22.0,23.0,cluster_0,H03,H0313,H031302,H03130212,H0313021207
P0540,5.0,3.0,3.0,cluster_9,H01,H0108,H010806,H01080611,H0108061122
P0541,22.0,22.0,25.0,cluster_0,H03,H0311,H031108,H03110801,H0311080101
P0543,5.5,12.5,12.0,cluster_5,H00,H0003,H000312,H00031200,H0003120001
P0544,10.0,30.0,30.0,cluster_0,H03,H0314,H031403,H03140301,H0314030102
P0545,5.0,7.0,24.0,cluster_0,H01,H0106,H010601,H01060113,H0106011307
P0546,15.2,7.5,15.2,cluster_0,H03,H0316,H031608,H03160817,H0316081707
P0547,5.0,10.0,5.0,cluster_0,H03,H0313,H031309,H03130900,H0313090044
P0548,5.0,12.0,5.0,cluster_8,H00,H0000,H000003,H00000300,H0000030001
P0549,5.5,23.4,7.3,cluster_0,H01,H0108,H010807,H01080710,H0108071032
P0550,1.0,1.0,1.0,cluster_0,H00,H0004,H000403,H00040305,H0004030501
P0551,2.0,15.0,13.0,cluster_3,H00,H0003,H000316,H00031609,H0003160901
P0552,20.0,2.0,25.0,cluster_0,H03,H0313,H031305,H03130512,H0313051225
P0553,6.0,32.5,21.5,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0554,30.0,2.0,24.0,cluster_0,H03,H0313,H031305,H03130512,H0313051224
P0555,5.0,17.0,12.0,cluster_0,H01,H0108,H010805,H01080509,H0108050901
P0556,6.6,15.0,6.6,cluster_4,H01,H0106,H010600,H01060013,H0106001338
P0557,7.0,39.0,16.0,cluster_0,H00,H0004,H000400,H00040000,H0004000012
P0559,13.4,31.1,13.4,cluster_0,H00,H0001,H000104,H00010400,H0001040001
P0560,3.0,25.5,15.0,cluster_4,H00,H0003,H000314,H00031409,H0003140912
P0561,1.0,1.0,1.0,cluster_0,H00,H0004,H000403,H00040305,H0004030536
P0563,9.0,6.5,25.5,cluster_4,H00,H0003,H000314,H00031400,H0003140001
P0564,1.5,9.0,12.0,,H00,H0003,H000315,H00031501,H0003150103
P0565,4.5,16.0,17.0,cluster_0,H00,H0003,H000312,H00031200,H0003120012
P0566,5.0,20.0,15.0,cluster_0,H02,H0210,H021002,H02100200,H0210020002
P0567,4.0,2.0,6.0,cluster_0,H03,H0313,H031302,H03130209,H0313020904
P0568,5.0,20.0,30.0,,H02,H0210,H021000,H02100001,H0210000107
P0569,5.0,25.0,15.0,cluster_9,H00,H0004,H000400,H00040000,H0004000017
P0570,2.0,11.0,3.5,cluster_0,H03,H0315,H031504,H03150411,H0315041121
P0571,10.0,45.0,10.0,cluster_0,H03,H0313,H031302,H03130200,H0313020001
P0572,1.0,18.6,2.0,cluster_7,H00,H0003,H000315,H00031500,H0003150002
P0574,1.7,4.5,14.2,cluster_9,H00,H0003,H000314,H00031405,H0003140506
P0575,26.0,28.0,9.0,cluster_0,H00,H0000,H000005,H00000505,H0000050517
P0576,15.0,17.5,15.0,cluster_0,H03,H0312,H031206,H03120609,H0312060938
P0577,8.0,47.0,28.0,cluster_0,H03,H0312,H031205,H03120507,H0312050709
P0578,4.0,14.0,4.0,cluster_0,H00,H0000,H000005,H00000505,H0000050506
P0579,4.8,20.5,14.3,cluster_7,H01,H0105,H010500,H01050000,H0105000033
P0580,4.5,21.8,4.5,,H01,H0108,H010807,H01080709,H0108070901
P0581,3.5,19.0,14.5,cluster_6,H00,H0001,H000102,H00010210,H0001021017
P0582,4.9,16.5,7.0,cluster_0,H01,H0108,H010807,H01080700,H0108070022
P0583,2.0,9.0,9.0,cluster_0,H01,H0107,H010702,H01070211,H0107021102
P0584,10.0,17.5,11.0,cluster_3,H01,H0107,H010700,H01070009,H0107000922
P0585,4.6,19.9,12.9,cluster_0,H01,H0107,H010702,H01070210,H0107021002
P0587,5.7,8.8,9.1,cluster_8,H01,H0107,H010700,H01070009,H0107000922
P0588,10.0,40.0,30.0,cluster_0,H03,H0315,H031506,H03150612,H0315061216
P0589,7.5,21.1,4.3,cluster_0,H01,H0108,H010807,H01080710,H0108071032
P0590,2.0,17.5,3.0,cluster_7,H00,H0002,H000200,H00020009,H0002000926
P0591,8.5,12.0,8.5,cluster_0,H00,H0002,H000201,H00020100,H0002010012
P0592,5.0,28.0,16.0,cluster_0,H03,H0311,H031108,H03110805,H0311080501
P0593,44.0,88.0,47.0,cluster_9,H03,H0314,H031401,H03140100,H0314010005
P0594,8.0,6.0,8.0,cluster_0,H00,H0002,H000200,H00020000,H0002000006
P0595,3.5,7.0,11.0,cluster_0,H01,H0105,H010503,H01050305,H0105030506
P0596,14.0,2.0,5.0,,H00,H0003,H000312,H00031200,H0003120022
P0597,4.0,10.0,4.0,cluster_0,H03,H0313,H031309,H03130900,H0313090044
P0598,6.2,16.8,6.2,cluster_9,H00,H0000,H000004,H00000405,H0000040517
P0599,2.0,17.5,10.0,cluster_0,H03,H0315,H031502,H03150200,H0315020002
P0600,3.0,10.0,7.0,cluster_0,H03,H0311,H031101,H03110101,H0311010127
P0601,1.0,14.0,9.5,cluster_0,H03,H0312,H031201,H03120100,H0312010014
P0602,4.5,16.7,4.5,cluster_2,H01,H0108,H010805,H01080500,H0108050033
P0603,6.0,19.0,26.0,cluster_0,H03,H0313,H031302,H03130209,H0313020901
P0604,3.5,13.0,8.5,,H00,H0003,H000312,H00031209,H0003120906
P0605,0.1,14.0,9.5,cluster_0,H01,H0108,H010811,H01081100,H0108110043
P0606,3.0,17.0,7.0,cluster_9,H01,H0107,H010700,H01070009,H0107000901
P0607,8.0,12.0,12.0,,H03,H0311,H031109,H03110900,H0311090001
P0608,7.5,17.5,8.8,cluster_0,H01,H0105,H010503,H01050309,H0105030901
P0609,3.0,15.0,15.0,cluster_0,H03,H0313,H031305,H03130515,H0313051502
P0610,5.0,20.0,30.0,cluster_9,H02,H0209,H020900,H02090000,H0209000001
P0611,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070006
P0613,12.0,3.0,9.0,cluster_0,H00,H0002,H000206,H00020605,H0002060501
P0614,6.8,16.5,10.0,cluster_0,H01,H0108,H010807,H01080700,H0108070012
P0615,7.0,12.5,7.0,cluster_0,H00,H0002,H000206,H00020609,H0002060912
P0616,6.0,9.5,7.5,cluster_0,H00,H0002,H000206,H00020610,H0002061001
P0617,,35.0,35.0,cluster_0,H03,H0314,H031408,H03140801,H0314080101
P0618,4.0,14.0,14.0,cluster_0,H03,H0316,H031608,H03160817,H0316081706
P0619,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090003
P0620,12.0,4.0,5.0,cluster_0,H03,H0311,H031108,H03110805,H0311080502
P0621,100.0,160.0,100.0,cluster_0,H01,H0108,H010806,H01080613,H0108061317
P0622,3.0,26.5,17.0,cluster_9,H03,H0311,H031110,H03111006,H0311100603
P0623,8.2,8.2,8.2,cluster_0,H00,H0002,H000200,H00020000,H0002000001
P0625,4.0,4.0,36.5,cluster_0,H01,H0106,H010601,H01060113,H0106011308
P0626,8.0,10.0,8.0,cluster_0,H00,H0002,H000206,H00020610,H0002061006
P0627,1.0,1.0,1.0,cluster_0,H00,H0004,H000403,H00040300,H0004030012
P0628,3.0,18.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832
P0629,5.7,17.5,5.7,cluster_4,H00,H0000,H000004,H00000400,H0000040001
P0630,,,,cluster_9,H02,H0210,H021002,H02100203,H0210020304
P0631,6.0,12.0,6.0,cluster_0,H00,H0003,H000313,H00031300,H0003130001
P0632,36.5,38.0,57.0,cluster_0,H03,H0315,H031508,H03150800,H0315080002
P0633,6.0,14.0,6.0,cluster_0,H00,H0000,H000004,H00000400,H0000040012
P0634,15.0,15.0,40.0,cluster_0,H03,H0313,H031302,H03130200,H0313020001
P0635,1.0,21.0,11.0,cluster_6,H03,H0313,H031309,H03130900,H0313090031
P0636,5.0,5.0,21.5,,H01,H0106,H010601,H01060113,H0106011305
P0637,5.0,25.0,9.0,cluster_0,H01,H0107,H010702,H01070200,H0107020004
P0638,9.0,24.0,18.0,cluster_0,H03,H0312,H031207,H03120710,H0312071007
P0639,4.6,21.5,14.2,cluster_5,H00,H0003,H000310,H00031000,H0003100017
P0640,7.0,7.0,7.0,cluster_0,H01,H0108,H010811,H01081100,H0108110006
P0641,1.0,17.0,8.0,cluster_0,H03,H0313,H031305,H03130518,H0313051826
P0642,7.0,7.5,20.0,cluster_0,H00,H0003,H000312,H00031200,H0003120004
P0643,2.0,18.0,12.0,cluster_0,H03,H0313,H031305,H03130519,H0313051904
P0644,62.0,89.0,57.0,cluster_6,H03,H0314,H031401,H03140100,H0314010005
P0645,4.0,38.0,38.0,cluster_0,H03,H0313,H031302,H03130215,H0313021510
P0646,4.5,19.0,29.5,cluster_0,H03,H0313,H031303,H03130302,H0313030201
P0647,5.0,19.0,13.0,cluster_0,H00,H0003,H000312,H00031200,H0003120001
P0649,1.0,23.0,10.0,cluster_3,H03,H0311,H031111,H03111101,H0311110124
P0651,5.9,24.5,6.4,cluster_4,H01,H0106,H010600,H01060013,H0106001301
P0652,15.5,5.4,6.5,cluster_4,H01,H0107,H010700,H01070009,H0107000901
P0654,6.0,18.5,11.5,cluster_0,H00,H0002,H000208,H00020805,H0002080526
P0655,26.3,45.7,29.3,cluster_0,H01,H0106,H010601,H01060112,H0106011212
P0656,3.0,21.0,21.0,cluster_0,H03,H0312,H031204,H03120400,H0312040037
P0657,3.0,11.5,16.5,cluster_0,H00,H0002,H000206,H00020605,H0002060501
P0658,13.5,20.0,21.0,cluster_6,H01,H0107,H010700,H01070005,H0107000501
P0659,5.0,18.5,9.0,cluster_0,H00,H0002,H000202,H00020200,H0002020026
P0660,6.5,7.5,13.0,cluster_0,H00,H0002,H000200,H00020000,H0002000001
P0661,1.0,12.0,8.4,cluster_0,H01,H0106,H010601,H01060114,H0106011422
P0662,22.0,3.5,22.0,cluster_0,H03,H0316,H031608,H03160817,H0316081713
P0663,5.3,13.4,5.3,cluster_1,H00,H0000,H000004,H00000405,H0000040506
P0664,4.0,4.0,15.0,cluster_3,H00,H0003,H000312,H00031200,H0003120012
P0665,6.5,13.6,6.5,cluster_0,H00,H0001,H000105,H00010510,H0001051006
P0666,28.0,10.5,12.0,cluster_0,H03,H0317,H031702,H03170215,H0317021508
P0667,2.0,12.4,7.7,cluster_0,H01,H0108,H010811,H01081100,H0108110001
P0668,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070019
P0669,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090003
P0670,3.8,15.5,3.8,cluster_9,H01,H0108,H010807,H01080709,H0108070906
P0671,7.4,10.8,7.4,cluster_0,H00,H0002,H000201,H00020110,H0002011012
P0672,8.0,13.0,8.0,cluster_0,H03,H0313,H031309,H03130900,H0313090040
P0673,8.0,18.0,10.0,cluster_0,H01,H0107,H010700,H01070009,H0107000922
P0674,12.0,10.5,8.2,cluster_3,H03,H0316,H031608,H03160817,H0316081708
P0675,6.5,26.0,13.0,cluster_0,H00,H0001,H000102,H00010210,H0001021017
P0676,2.0,2.0,44.5,cluster_0,H03,H0312,H031205,H03120507,H0312050709
P0678,1.5,12.0,7.5,cluster_0,H01,H0108,H010811,H01081100,H0108110001
P0679,16.0,19.5,16.0,cluster_0,H01,H0108,H010805,H01080509,H0108050906
P0680,9.5,20.0,14.0,cluster_4,H01,H0107,H010702,H01070210,H0107021001
P0681,5.5,23.8,7.5,cluster_0,H01,H0108,H010807,H01080710,H0108071032
P0682,5.0,16.0,5.0,cluster_4,H00,H0000,H000004,H00000400,H0000040012
P0683,1.0,29.5,21.0,cluster_0,H03,H0313,H031305,H03130520,H0313052001
P0684,15.0,55.0,32.0,cluster_0,H03,H0313,H031303,H03130303,H0313030301
P0685,3.0,26.5,17.0,cluster_2,H03,H0311,H031110,H03111006,H0311100603
P0687,5.0,15.2,9.9,cluster_9,H01,H0108,H010807,H01080710,H0108071022
P0688,1.0,23.0,7.5,cluster_0,H03,H0313,H031305,H03130518,H0313051817
P0689,9.2,27.4,11.5,cluster_0,H01,H0105,H010501,H01050114,H0105011401
P0690,9.0,5.5,9.0,cluster_0,H01,H0108,H010810,H01081009,H0108100901
P0691,1.0,20.0,30.0,cluster_4,H03,H0313,H031307,H03130705,H0313070502
P0692,3.5,4.0,11.5,cluster_0,H03,H0312,H031207,H03120710,H0312071009
P0693,6.0,33.0,10.5,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0694,11.0,16.0,16.0,cluster_9,H00,H0000,H000005,H00000505,H0000050506
P0695,2.0,10.0,20.0,cluster_9,H00,H0002,H000206,H00020610,H0002061001
P0696,4.6,10.3,4.8,cluster_0,H01,H0108,H010805,H01080500,H0108050026
P0697,8.0,16.0,10.0,cluster_0,H00,H0002,H000200,H00020009,H0002000901
P0698,11.1,11.1,11.1,cluster_7,H00,H0001,H000105,H00010500,H0001050008
P0699,2.0,20.0,15.0,cluster_0,H03,H0313,H031307,H03130700,H0313070017
P0700,40.0,100.0,50.0,cluster_6,H03,H0314,H031401,H03140100,H0314010006
P0701,4.5,18.5,8.5,cluster_9,H01,H0107,H010702,H01070200,H0107020017
P0702,4.5,7.0,7.0,cluster_4,H01,H0107,H010700,H01070009,H0107000901
P0703,26.0,26.0,26.0,cluster_0,H03,H0314,H031407,H03140702,H0314070201
P0704,6.0,20.0,13.0,cluster_0,H00,H0001,H000102,H00010210,H0001021012
P0705,4.6,23.3,8.6,cluster_6,H01,H0108,H010803,H01080311,H0108031101
P0706,1.0,10.0,10.0,cluster_0,H00,H0004,H000401,H00040105,H0004010522
P0707,4.3,13.5,4.3,cluster_9,H00,H0001,H000105,H00010510,H0001051017
P0708,5.0,15.0,10.0,cluster_0,H03,H0315,H031504,H03150400,H0315040000
P0709,6.0,21.0,11.0,cluster_9,H00,H0004,H000401,H00040105,H0004010512
P0710,,,,cluster_0,H03,H0313,H031305,H03130520,H0313052008
P0711,2.5,18.0,8.0,cluster_0,H03,H0315,H031504,H03150411,H0315041140
P0712,3.7,4.5,16.7,cluster_0,H01,H0108,H010801,H01080110,H0108011006
P0713,5.0,16.0,7.0,cluster_9,H00,H0004,H000400,H00040000,H0004000032
P0714,15.0,15.0,8.0,cluster_3,H01,H0108,H010811,H01081100,H0108110043
P0715,7.0,13.0,7.0,cluster_0,H00,H0000,H000005,H00000500,H0000050017
P0716,12.7,6.5,21.0,cluster_9,H03,H0312,H031206,H03120610,H0312061042
P0718,5.0,18.0,10.0,cluster_0,H00,H0004,H000401,H00040100,H0004010026
P0719,6.0,17.0,6.0,,H00,H0000,H000004,H00000400,H0000040001
P0720,47.8,80.0,47.8,cluster_0,H01,H0106,H010601,H01060112,H0106011208
P0721,1.5,25.0,12.5,cluster_0,H01,H0108,H010809,H01080900,H0108090001
P0722,5.0,7.0,5.0,,H01,H0107,H010702,H01070210,H0107021003
P0724,6.0,24.0,10.0,cluster_0,H00,H0003,H000310,H00031000,H0003100001
P0725,,,,cluster_0,H00,H0004,H000402,H00040212,H0004021202
P0726,1.0,15.0,10.0,cluster_0,H00,H0003,H000312,H00031200,H0003120001
P0727,,,,,H02,H0209,H020900,H02090000,H0209000001
P0728,3.0,4.0,4.0,cluster_0,H02,H0210,H021000,H02100001,H0210000104
P0729,19.0,23.0,20.0,cluster_0,H03,H0315,H031508,H03150800,H0315080020
P0730,4.8,21.2,8.9,cluster_0,H01,H0108,H010807,H01080710,H0108071032
P0731,8.0,18.0,8.0,cluster_0,H03,H0314,H031400,H03140001,H0314000101
P0732,4.5,18.2,4.5,cluster_0,H01,H0108,H010805,H01080500,H0108050033
P0733,2.0,4.0,9.0,cluster_7,H00,H0003,H000314,H00031405,H0003140506
P0735,5.0,22.5,6.1,cluster_8,H01,H0108,H010808,H01080815,H0108081512
P0736,70.0,165.0,36.0,cluster_0,H01,H0107,H010702,H01070200,H0107020004
P0737,2.0,25.0,9.0,cluster_3,H03,H0311,H031111,H03111103,H0311110301
P0738,3.5,8.5,3.5,cluster_0,H01,H0108,H010808,H01080814,H0108081412
P0739,8.5,9.0,8.5,cluster_3,H03,H0312,H031208,H03120817,H0312081713
P0740,1.0,20.0,10.0,cluster_0,H03,H0313,H031305,H03130518,H0313051828
P0741,3.8,16.4,9.5,cluster_0,H01,H0106,H010600,H01060013,H0106001345
P0742,6.4,7.0,6.4,cluster_0,H01,H0108,H010811,H01081100,H0108110038
P0744,2.0,7.0,7.0,,H03,H0311,H031108,H03110802,H0311080202
P0745,,,,cluster_0,H02,H0209,H020908,H02090804,H0209080422
P0746,1.0,1.0,1.0,cluster_0,H03,H0314,H031407,H03140702,H0314070202
P0747,23.0,23.0,33.3,cluster_0,H01,H0107,H010701,H01070100,H0107010026
P0748,3.8,4.8,15.3,cluster_0,H01,H0108,H010801,H01080110,H0108011006
